1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Захотелось приобрести / воспользоваться (топ-1),,"Если бы вы увидели такую рекламу по ТВ или в интернете, захотелось бы вам воспользоваться ХХХ?",0.3938185965,0.413,0.353,0.404,0.444,0.343,0.485,0.371,0.429,0.454,0.452,0.371,0.378,0.61,0.66,0.4330855019,0.3928571429,0.2995391705,0.3714953271,0.3310502283,0.38,0.44,0.34,0.38,0.29,0.37,0.33,0.36,0.29,0.32,0.37,0.38,0.44,0.43,0.47,0.47,0.41,0.4,0.44,0.46,0.43,0.39,0.39,0.38,0.31,0.27,0.36,0.35,0.37,0.33,0.39,0.38,0.29,0.38,0.43,0.45,0.35,0.36,0.44,0.44,0.41,0.47,0.42,0.45,0.36,0.28,0.41,0.35
Опциональные показатели,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Желание использовать чаще (среди пользователей),,"(Как вы думаете, как этот ролик повлияет на ваше использование Яндекс Браузера?, топ-1 - Стану пользоваться чаще)",0.3059474074,,,,,,,,,,,,,,,,,0.2382550336,0.2993421053,0.2508250825,0.34,0.33,0.24,0.28,0.24,0.26,0.26,0.28,0.24,0.25,0.28,0.29,,0.31,0.32,0.37,0.34,0.31,0.3,0.39,0.37,0.3,0.23,0.47,0.37,0.35,0.34,0.33,,,,,,,,,,,,,,,,,,,,
Желание скачать / начать использовать (среди непользователей),,"Как вы думаете, как этот ролик повлияет на ваше желание установить и начать использовать Яндекс Браузер?, топ-1 - Точно скачаю и начну пользоваться",0.06882121505,,,,,,,,,,,,,,,,,0.09558823529,0.1209677419,0.05925925926,,0.05,0.08,0.1,0.02,0.04,0.05,0.05,0.02,0.09,0.04,0.03,,0.06,0.06,0.05,0.08,0.05,0.02,0.14,0.1,0.07,0.05,0.14,0.06,0.09,0.12,0.06,,,,,,,,,,,,,,,,,,,,
Возможности/функции правильный ответ,,"Какие функции или возможности рекламировались в этом ролике? (список ответов: правильные ответы + неправильные, но что пользователь потенциально мог считать из рекламы)",0.5443428401,,,,,,,,,,,,,,,,,0.6889400922,0.4369158879,0.3744292237,0.52,0.74,0.36,0.43,0.37,0.43,0.5,0.54,0.53,0.56,0.59,0.61,,,,0.74,0.78,0.72,0.72,0.73,0.51,0.44,0.66,0.29,0.51,0.56,0.66,0.76,,,,,,,,,,,,,,,,,,,0.26,0.31
Возможности/функции НЕправильный ответ,,"Какие функции или возможности рекламировались в этом ролике? (список ответов: правильные ответы + неправильные, но что пользователь потенциально мог считать из рекламы)",0.2369676304,,,,,,,,,,,,,,,,,0.1451612903,0.3014018692,0.3424657534,0.3,0.1,0.25,0.28,0.29,0.26,0.26,0.32,0.2,0.25,0.07,0.2,,,,0.13,0.09,0.1,0.09,0.1,0.26,0.28,0.07,0.11,0.14,0.15,0.47,0.12,,,,,,,,,,,,,,,,,,,0.74,0.69
Верно назвали бренд (открытый вопрос),,"Какой бренд рекламировался в этой рекламе? (открытый вопрос,правильные и близкие к правильным ответы, например, для Я.Бро - Яндекс, Браузер, Поиск Яндекса и т.д.)",0.7099308872,0.7931034483,0.7472118959,0.7846153846,0.6904761905,0.8412698413,0.8977272727,0.7689393939,0.8275862069,0.9236641221,0.8735632184,0.6774193548,0.6585365854,,,0.8494423792,0.8552631579,0.82,0.79,0.87,0.85,0.8,0.81,0.83,0.86,0.86,0.82,0.84,0.84,0.77,0.88,0.81,0.92,,,0.22,0.28,0.21,0.21,0.27,0.2,0.16,0.72,0.36,0.39,0.81,0.76,0.84,0.84,0.89,0.88,0.92,0.87,0.82,0.8,0.77,0.82,0.8,0.72,0.6,0.68,0.66,0.63,0.62,0.1,0.75,0.85,0.8
Верно назвали продукт / фичу (открытый вопрос),,А какой именно продукт или его возможность? (открытый вопрос),0.5701459166,0.7567567568,0.7063197026,0.6961538462,0.5537848606,0.6666666667,0.7878787879,0.6515151515,0.7394636015,0.8396946565,0.785440613,0.564516129,0.6422764228,,,0.6468401487,0.6484962406,0.72,0.48,0.51,0.72,0.63,0.49,0.63,0.68,0.72,0.7,0.77,0.66,0.61,0.68,0.56,0.83,,,0.33,0.32,0.33,0.35,0.3,0.28,0.23,0.58,0.29,0.48,0.25,0.31,0.21,0.56,0.62,0.51,0.54,0.37,0.61,0.76,0.74,0.82,0.92,0.9,0.64,0.65,0.66,0.64,0.71,0.1,0.46,0.23,0.33
Эмоциональное восприятие (пары высказываний),"Лаконичный, простой, понятный","Какие ассоциации у вас возникают с Яндекс Браузером после просмотра ролика? Из каждой пары выберите только одно высказывание, которое больше подходит Яндекс Браузеру.",0.7292310701,0.625,0.621,0.704,0.718,0.677,0.75,0.678,0.724,0.744,0.759,0.617,0.679,,,0.6505576208,0.5996240602,0.6912442396,0.7102803738,0.6780821918,0.7,0.71,0.61,0.72,0.66,0.75,0.7,0.73,0.66,0.67,0.77,0.77,0.76,0.72,0.77,0.76,0.76,0.77,0.76,0.75,0.73,0.7,0.73,0.65,0.64,0.55,0.66,0.77,0.8,0.77,0.81,0.76,0.82,0.84,0.8,0.8,0.8,0.81,0.85,0.77,0.79,0.81,0.74,0.87,0.73,0.73,0.72,0.72
,"Загроможденный, сложный",,0.1069099472,0.208,0.126,0.135,0.091,0.108,0.102,0.129,0.115,0.115,0.103,0.157,0.13,,,0.1654275093,0.2236842105,0.09907834101,0.07943925234,0.09360730594,0.12,0.09,0.2,0.12,0.14,0.1,0.1,0.08,0.12,0.12,0.06,0.08,0.11,0.1,0.09,0.08,0.12,0.07,0.06,0.08,0.11,0.12,0.12,0.13,0.12,0.22,0.14,0.08,0.06,0.09,0.11,0.09,0.07,0.05,0.07,0.08,0.07,0.07,0.06,0.14,0.12,0.06,0.12,0.05,0.1,0.11,0.13,0.14
Эмоциональное восприятие (пары высказываний),"Инновационный, современный",,0.7475527495,0.745,0.714,0.735,0.79,0.757,0.758,0.682,0.762,0.802,0.789,0.722,0.728,,,0.7843866171,0.7593984962,0.698156682,0.7126168224,0.6598173516,0.71,0.75,0.65,0.75,0.63,0.77,0.71,0.76,0.68,0.68,0.75,0.74,0.86,0.77,0.81,0.77,0.82,0.81,0.82,0.8,0.79,0.8,0.68,0.7,0.73,0.57,0.67,0.69,0.78,0.73,0.75,0.75,0.73,0.72,0.76,0.78,0.72,0.69,0.75,0.86,0.84,0.82,0.79,0.87,0.78,0.76,0.72,0.72
,"Отсталый, устаревший",,0.07604909029,0.081,0.086,0.112,0.06,0.06,0.061,0.133,0.088,0.069,0.061,0.065,0.081,,,0.06319702602,0.05827067669,0.06912442396,0.05607476636,0.08447488584,0.07,0.07,0.11,0.08,0.11,0.05,0.09,0.06,0.08,0.08,0.05,0.05,0.06,0.07,0.05,0.06,0.04,0.05,0.05,0.04,0.05,0.05,0.11,0.1,0.06,0.13,0.12,0.08,0.05,0.1,0.13,0.08,0.07,0.13,0.09,0.06,0.1,0.12,0.1,0.05,0.07,0.05,0.09,0.04,0.06,0.06,0.11,0.08
Эмоциональное восприятие (пары высказываний),Яркий,,0.7346843769,0.761,0.747,0.777,0.718,0.657,0.705,0.636,0.724,0.775,0.743,0.633,0.659,,,0.8104089219,0.7763157895,0.7119815668,0.7827102804,0.6643835616,0.69,0.75,0.67,0.75,0.68,0.75,0.67,0.74,0.71,0.7,0.76,0.76,0.85,0.78,0.81,0.78,0.85,0.82,0.8,0.8,0.76,0.78,0.72,0.64,0.69,0.71,0.71,0.8,0.75,0.72,0.71,0.71,0.73,0.63,0.74,0.79,0.63,0.65,0.71,0.78,0.79,0.78,0.79,0.81,0.73,0.65,0.76,0.71
,Скучный,,0.121081218,0.116,0.119,0.135,0.115,0.167,0.121,0.208,0.138,0.103,0.138,0.202,0.203,,,0.07434944238,0.08458646617,0.09216589862,0.05841121495,0.1506849315,0.11,0.08,0.15,0.11,0.14,0.1,0.15,0.08,0.09,0.11,0.09,0.08,0.08,0.09,0.09,0.07,0.07,0.07,0.07,0.07,0.09,0.09,0.15,0.16,0.12,0.13,0.14,0.09,0.11,0.15,0.15,0.15,0.16,0.19,0.15,0.12,0.18,0.19,0.14,0.12,0.11,0.1,0.11,0.1,0.12,0.18,0.11,0.13
Эмоциональное восприятие (пары высказываний),"Заботливый, помогающий",,0.6878985831,0.618,0.595,0.696,0.798,0.586,0.727,0.659,0.701,0.748,0.678,0.544,0.622,,,0.6933085502,0.6127819549,0.633640553,0.6658878505,0.595890411,0.65,0.68,0.59,0.67,0.58,0.7,0.66,0.76,0.6,0.62,0.71,0.73,0.76,0.7,0.76,0.71,0.73,0.71,0.73,0.74,0.73,0.7,0.68,0.62,0.64,0.5,0.62,0.61,0.73,0.71,0.69,0.69,0.75,0.77,0.75,0.78,0.74,0.72,0.79,0.75,0.77,0.75,0.7,0.82,0.66,0.68,0.67,0.66
,"Чужой, отстраненный",,0.08128509792,0.139,0.097,0.096,0.063,0.12,0.068,0.11,0.073,0.08,0.1,0.169,0.15,,,0.08364312268,0.1015037594,0.07603686636,0.05373831776,0.09132420091,0.08,0.09,0.14,0.07,0.09,0.08,0.08,0.04,0.09,0.08,0.04,0.05,0.07,0.08,0.05,0.06,0.06,0.08,0.06,0.04,0.05,0.05,0.07,0.11,0.09,0.15,0.11,0.1,0.05,0.07,0.11,0.07,0.05,0.06,0.06,0.07,0.08,0.08,0.05,0.07,0.07,0.07,0.09,0.06,0.08,0.12,0.1,0.1
Эмоциональное восприятие (пары высказываний),"Вселяющий уверенность, надежный",,0.666061203,0.598,0.576,0.654,0.714,0.594,0.678,0.591,0.663,0.733,0.663,0.565,0.602,,,0.6728624535,0.6334586466,0.6175115207,0.6214953271,0.6095890411,0.64,0.66,0.57,0.67,0.58,0.7,0.62,0.71,0.62,0.58,0.67,0.66,0.75,0.68,0.75,0.7,0.73,0.69,0.69,0.74,0.69,0.67,0.66,0.6,0.61,0.53,0.65,0.66,0.68,0.68,0.66,0.67,0.72,0.68,0.71,0.75,0.7,0.69,0.77,0.76,0.7,0.71,0.67,0.79,0.66,0.61,0.7,0.65
,"Сомнительный, вызывающий недоверие",,0.1107597931,0.205,0.104,0.169,0.095,0.151,0.095,0.186,0.111,0.088,0.119,0.181,0.163,,,0.1022304833,0.1390977444,0.08986175115,0.09813084112,0.1073059361,0.1,0.1,0.14,0.09,0.13,0.1,0.1,0.07,0.11,0.14,0.06,0.09,0.08,0.1,0.08,0.08,0.08,0.08,0.08,0.06,0.1,0.09,0.12,0.14,0.13,0.18,0.14,0.1,0.11,0.13,0.15,0.1,0.13,0.11,0.09,0.1,0.1,0.11,0.08,0.07,0.11,0.08,0.13,0.07,0.13,0.17,0.12,0.13
Эмоциональное восприятие (пары высказываний),"Оптимистичный, воодушевляющий",,0.7203012649,0.714,0.688,0.735,0.738,0.641,0.739,0.64,0.732,0.767,0.732,0.613,0.654,,,0.7620817844,0.6973684211,0.6543778802,0.726635514,0.6598173516,0.68,0.71,0.63,0.72,0.65,0.73,0.67,0.71,0.69,0.68,0.76,0.75,0.82,0.74,0.77,0.76,0.8,0.79,0.78,0.78,0.73,0.74,0.71,0.64,0.67,0.65,0.7,0.75,0.76,0.69,0.71,0.69,0.78,0.72,0.74,0.78,0.67,0.7,0.76,0.8,0.75,0.79,0.75,0.8,0.73,0.67,0.73,0.69
,"Унылый, тоскливый",,0.10199711,0.085,0.074,0.123,0.103,0.147,0.091,0.148,0.111,0.099,0.096,0.181,0.142,,,0.06133828996,0.09210526316,0.1059907834,0.05607476636,0.1073059361,0.1,0.1,0.12,0.09,0.08,0.1,0.11,0.08,0.1,0.09,0.08,0.07,0.07,0.1,0.07,0.07,0.07,0.07,0.06,0.07,0.08,0.08,0.11,0.13,0.11,0.11,0.13,0.09,0.08,0.12,0.14,0.09,0.1,0.16,0.11,0.09,0.14,0.13,0.12,0.09,0.09,0.08,0.11,0.09,0.13,0.15,0.11,0.12
Эмоциональное восприятие (пары высказываний),Умиротворяющий,,0.5956584485,0.444,0.513,0.608,0.742,0.574,0.587,0.587,0.594,0.645,0.605,0.508,0.581,,,0.5371747212,0.484962406,0.5460829493,0.6425233645,0.5273972603,0.54,0.57,0.5,0.55,0.5,0.55,0.55,0.6,0.5,0.5,0.62,0.64,0.64,0.6,0.65,0.61,0.62,0.57,0.6,0.61,0.57,0.59,0.58,0.53,0.46,0.42,0.59,0.57,0.6,0.58,0.66,0.58,0.68,0.7,0.69,0.7,0.69,0.7,0.71,0.68,0.61,0.68,0.61,0.72,0.6,0.64,0.59,0.59
,Вызывающий беспокойство,,0.0986533052,0.243,0.115,0.123,0.067,0.135,0.114,0.117,0.092,0.126,0.096,0.141,0.138,,,0.1152416357,0.1804511278,0.1082949309,0.06308411215,0.102739726,0.09,0.09,0.12,0.08,0.11,0.11,0.11,0.08,0.13,0.12,0.04,0.08,0.09,0.09,0.06,0.08,0.09,0.1,0.08,0.06,0.09,0.11,0.1,0.11,0.14,0.21,0.11,0.11,0.09,0.08,0.09,0.1,0.08,0.07,0.07,0.09,0.07,0.05,0.04,0.09,0.11,0.09,0.1,0.08,0.09,0.09,0.12,0.09
Эмоциональное восприятие (пары высказываний),Выделяющийся,,0.6409363167,0.683,0.636,0.669,0.679,0.571,0.644,0.564,0.628,0.687,0.659,0.605,0.593,,,0.687732342,0.6541353383,0.5783410138,0.6565420561,0.598173516,0.63,0.66,0.58,0.62,0.57,0.64,0.55,0.63,0.59,0.6,0.66,0.63,0.7,0.67,0.69,0.71,0.75,0.71,0.66,0.7,0.68,0.67,0.65,0.58,0.58,0.59,0.67,0.68,0.67,0.59,0.67,0.64,0.61,0.65,0.67,0.68,0.56,0.59,0.65,0.65,0.69,0.65,0.67,0.71,0.62,0.6,0.63,0.66
,Заурядный,,0.1761404208,0.158,0.138,0.181,0.139,0.19,0.159,0.227,0.184,0.153,0.165,0.19,0.191,,,0.1449814126,0.1654135338,0.1843317972,0.1471962617,0.1940639269,0.16,0.14,0.17,0.18,0.19,0.16,0.21,0.14,0.17,0.17,0.15,0.16,0.17,0.15,0.14,0.12,0.12,0.12,0.18,0.12,0.16,0.16,0.19,0.19,0.18,0.19,0.16,0.13,0.18,0.23,0.16,0.19,0.23,0.19,0.2,0.17,0.24,0.26,0.2,0.18,0.21,0.21,0.18,0.16,0.19,0.27,0.21,0.18
,База,,354.4090909,259,269,260,302,301,300,304,303,301,300,305,296,200,181,538,532,434,428,438,414,435,424,412,408,418,409,411,399,405,431,420,252,406,431,425,513,417,413,410,424,403,448,410,417,455,398,425,244,224,221,248,275,257,310,303,304,310,282,225,231,234,231,240,230,233,582,582
,Ссылка на ролик,,,https://rutube.ru/video/private/59e4a9d013243194a2c7a6fb299d49e8/?p=mb43DJQBV9bxv1OFtYfBjA,https://rutube.ru/video/private/dacf60e83485092acbdbe4ba146db148/?p=qlq7sGgywmeQMvHhbExKeA,https://rutube.ru/video/private/e2e916cf1bdcbf98b8b0ddf93a24ed48/?p=7i2b4FQO8XHm6e1ZVjWhsw,https://rutube.ru/video/private/dca6c03d5b6a605ea429b504acc3de65/?p=jlBjs4VhF4G3qYAIV5F4TQ,https://rutube.ru/video/private/b25cce71d98b9380058a5481c96ef663/?p=NzRx_amyX6dT1bduex6RUA,https://rutube.ru/video/private/476ed65bb0c669bdca427aac113182e9/?p=flR2eOpLlidsD8jLKzB5JA,https://rutube.ru/video/private/ad1c6ac0bde77eddcc92f347c0ee2e4b/?p=9xd7nb7MjpLwKHTs-MOsEw,https://rutube.ru/video/private/e5ad3da810893c61aadbe7427d4a7f99/?p=PNE1bwddjsBL6kShUazxRw,https://rutube.ru/video/private/68cd6d2b09ba3d3b8f6ed1a50238e383/?p=eEVbPmAQ6SXhZoGOu2nXNg,https://rutube.ru/video/private/66398fdfd4214b2a3d73a0bd50da16b2/?p=aUsKlkz4zsknZ-KRxmSAAg,https://rutube.ru/video/private/315b6643e5a0fde45130768a4ab388b0/?p=AjTSwPFlAWZUaExiXWG8pQ,https://rutube.ru/video/private/8386676aeef523c2ec1bfb4431908cfe/?p=QrKjoQbR8OSZPQqICb0uIQ, https://youtu.be/OaSS_7fiNjo, https://youtu.be/wa8LD13ZH_Q,,,,,,https://rutube.ru/video/private/d44e98dda41778a8cbab9085b0c467ed/?p=5UtweU61JEFwG2XLwVqdfg,https://rutube.ru/video/private/c2e060a3b1fcc684302615dc6d21bdcd/?p=HfuGyXS0vtpEZeCv_4_4rQ,,,,,,,,,,,https://rutube.ru/video/private/0edf4aa400fb72ae7f4100230a6f3f31/?p=h_3Kagq0qzlGqx6JitxAgQ,,https://rutube.ru/video/private/0bded83101d4e5a42e567ede925655e9/?r=wd,https://rutube.ru/video/private/5f7527fb9352708e7911fd6e3f1b26f5/?r=wd,https://rutube.ru/video/private/153c2851c211a607442d966f49ba0098/?r=wd,https://rutube.ru/video/private/e18e5ab20b6263aa55addd8a0d57203d/?r=wd,https://rutube.ru/video/private/2eca7302da5f81db6c192ddc79b57e01/?r=wd,https://rutube.ru/video/private/837f37ed7a907f3c74a54cad07fb158c/?r=wd,https://rutube.ru/video/private/0fee2b044a2afcc85907370ce2bbc4a2/?r=wd,https://rutube.ru/video/private/8a2cf058087809451bf250026db5ef32/?r=wd,https://rutube.ru/video/private/551c1433728b5e0d2e018fc15ab002ea/?r=wd,https://rutube.ru/video/private/c48cde587aa166e23d6169c9b1222186/?r=wd,https://rutube.ru/video/private/61311b769554a89f33b158f362e67f09/?r=wd,https://rutube.ru/video/private/55ed0dba4ad21eaae8d2e9b10829a596/?r=wd,https://rutube.ru/video/private/55ed0dba4ad21eaae8d2e9b10829a596/?r=wd,https://rutube.ru/video/c48cde587aa166e23d6169c9b1222186/?utm_source=embed&utm_medium=referral&utm_campaign=main_logo&utm_content=c48cde587aa166e23d6169c9b1222186&utm_term=surveys.yandex.ru&t=0&p=tYz7U0VypQi9zWwfJ6Nrhw,,,,,,,,,,,,https://rutube.ru/video/private/09871b274791d0ebe954c8a457f10a4c/?p=hVW8_9EJLLpEtYhsyCQoAg,https://rutube.ru/video/private/565c74638733493c26dd46fa9ba4a13a/?p=ImM-Ou2sVMuc_NbW6T6tfA,https://rutube.ru/video/private/343266bab24a59b4be87daa106b374be/?p=KJtvIb_tVPX2L78wW5ammA,https://rutube.ru/video/private/231758b346743a42e0a17371133a1093/?p=TnvsH-MPGh9H6-TKx9SYiA,https://rutube.ru/video/private/bbbc0ae3270f9100381c102b0dbd1937/?p=5DXsRCImieQvJEgixqYD_w,https://rutube.ru/video/private/16eae9e9bc2892bc0ee11fdf56772be3/?p=skYDH7uR2tY-kxGGMqnIHg,https://rutube.ru/video/private/29fcf2d7a44c615225087c89429efea2/?p=ZI57vYqyXz5sunP9KlagTQ,https://rutube.ru/video/private/46ed5890319ee85f29b48394057e5a85/?p=aXnKlYjSe0sKXwlPHWEbxg,https://rutube.ru/video/private/fc5b06da92c99aaaf9806892945c0927/?p=Aaf6ybwAvq-SndoEr6tgEg
